Previous_Day_Sales,Customers,Promotion,Is_Weekend,Food_Category,Sales,Food_Category_enc
353.0,99.0,0.0,0,Breakfast,183.0,1
301.0,216.0,0.0,1,Burgers,449.0,2
142.0,141.0,1.0,0,Beverages,444.0,0
253.0,159.0,1.0,0,Desserts,346.0,3
442.0,77.0,0.0,0,Fries,200.0,4
304.0,122.0,0.0,0,Desserts,244.0,3
349.0,157.0,0.0,1,Fries,355.0,4
229.0,152.0,0.0,1,Burgers,425.0,2
289.0,130.0,0.0,0,Mcnuggets,310.0,5
438.0,139.0,0.0,0,Mcnuggets,288.0,5
275.0,221.0,1.0,1,Burgers,527.0,2
345.0,180.0,1.0,0,Beverages,359.0,0
122.0,119.0,0.0,0,Beverages,210.0,0
311.0,181.0,1.0,0,Desserts,336.0,3
368.0,179.0,0.0,1,Breakfast,389.0,1
212.0,151.0,0.0,0,Burgers,288.0,2
308.0,113.0,0.0,0,Desserts,261.0,3
390.0,114.0,0.0,0,Mcnuggets,266.0,5
267.0,154.0,1.0,0,Burgers,419.0,2
365.0,141.0,0.0,0,Burgers,335.0,2
199.0,146.0,1.0,0,Desserts,294.0,3
358.0,190.0,1.0,1,Burgers,394.0,2
90.0,124.0,0.0,0,Fries,283.0,4
263.0,123.0,0.0,0,Fries,309.0,4
372.0,177.0,1.0,0,Burgers,392.0,2
371.0,125.0,0.0,0,Breakfast,294.0,1
171.0,117.0,0.0,0,Beverages,234.0,0
373.0,125.0,0.0,0,Burgers,189.0,2
190.0,93.0,0.0,0,Breakfast,158.0,1
235.0,113.0,0.0,0,Breakfast,189.0,1
168.0,133.0,0.0,0,Burgers,303.0,2
193.0,112.0,0.0,0,Mcnuggets,195.0,5
210.0,89.0,0.0,0,Fries,137.0,4
262.0,137.0,0.0,0,Beverages,297.0,0
421.0,134.0,0.0,0,Mcnuggets,311.0,5
213.0,242.0,1.0,1,Burgers,516.0,2
483.0,133.0,0.0,0,Breakfast,282.0,1
304.0,185.0,0.0,1,Beverages,379.0,0
164.0,165.0,0.0,0,Burgers,367.0,2
86.0,80.0,0.0,0,Beverages,192.0,0
300.0,118.0,0.0,0,Fries,225.0,4
410.0,153.0,0.0,1,Breakfast,300.0,1
309.0,133.0,0.0,0,Beverages,336.0,0
362.0,141.0,0.0,0,Beverages,244.0,0
277.0,102.0,0.0,0,Burgers,160.0,2
242.0,127.0,0.0,0,Mcnuggets,257.0,5
530.0,156.0,0.0,0,Fries,317.0,4
335.0,112.0,0.0,0,Burgers,261.0,2
263.0,125.0,0.0,0,Burgers,266.0,2
238.0,156.0,1.0,0,Fries,266.0,4
367.0,143.0,0.0,1,Fries,234.0,4
219.0,88.0,0.0,0,Breakfast,95.0,1
234.0,134.0,0.0,0,Burgers,260.0,2
219.0,143.0,0.0,0,Mcnuggets,212.0,5
208.0,185.0,1.0,0,Mcnuggets,321.0,5
254.0,194.0,0.0,1,Burgers,436.0,2
331.0,160.0,0.0,1,Desserts,267.0,3
300.0,156.0,1.0,0,Breakfast,342.0,1
302.0,111.0,0.0,0,Fries,206.0,4
428.0,161.0,0.0,1,Burgers,288.0,2
308.0,113.0,0.0,0,Beverages,303.0,0
467.0,161.0,0.0,1,Beverages,371.0,0
149.0,165.0,0.0,1,Burgers,453.0,2
172.0,164.0,0.0,0,Mcnuggets,344.0,5
747.0,120.0,0.0,0,Desserts,262.0,3
271.0,189.0,0.0,1,Beverages,431.0,0
165.0,157.0,1.0,0,Beverages,313.0,0
573.0,132.0,0.0,1,Breakfast,293.0,1
487.0,192.0,1.0,1,Desserts,488.0,3
290.0,154.0,1.0,0,Fries,323.0,4
363.0,129.0,0.0,0,Fries,289.0,4
169.0,125.0,0.0,0,Burgers,240.0,2
294.0,121.0,0.0,0,Breakfast,237.0,1
433.0,138.0,1.0,0,Fries,315.0,4
302.0,156.0,0.0,0,Desserts,379.0,3
325.0,152.0,0.0,1,Mcnuggets,296.0,5
226.0,145.0,1.0,0,Desserts,396.0,3
256.0,54.0,0.0,0,Breakfast,82.0,1
207.0,133.0,0.0,1,Breakfast,228.0,1
299.0,173.0,1.0,0,Mcnuggets,318.0,5
191.0,187.0,0.0,1,Burgers,326.0,2
275.0,161.0,0.0,0,Burgers,312.0,2
247.0,157.0,1.0,0,Breakfast,374.0,1
262.0,201.0,0.0,1,Burgers,405.0,2
329.0,142.0,0.0,0,Desserts,263.0,3
180.0,214.0,1.0,1,Mcnuggets,550.0,5
194.0,141.0,1.0,0,Burgers,501.0,2
174.0,155.0,1.0,0,Fries,366.0,4
362.0,115.0,0.0,0,Burgers,257.0,2
471.0,174.0,0.0,1,Desserts,298.0,3
207.0,120.0,0.0,0,Beverages,290.0,0
316.0,129.0,0.0,0,Fries,284.0,4
255.0,130.0,0.0,0,Beverages,280.0,0
230.0,129.0,0.0,0,Burgers,226.0,2
345.0,104.0,0.0,0,Burgers,267.0,2
278.0,93.0,0.0,0,Desserts,191.0,3
449.0,166.0,1.0,0,Breakfast,348.0,1
309.0,137.0,0.0,0,Mcnuggets,328.0,5
381.0,129.0,0.0,0,Burgers,268.0,2
308.0,200.0,1.0,1,Burgers,544.0,2
374.0,126.0,0.0,0,Fries,208.0,4
226.0,179.0,1.0,0,Burgers,440.0,2
471.0,101.0,0.0,0,Mcnuggets,220.0,5
354.0,94.0,0.0,0,Fries,219.0,4
395.0,83.0,0.0,0,Burgers,212.0,2
317.0,213.0,1.0,1,Desserts,433.0,3
296.0,148.0,1.0,0,Desserts,353.0,3
388.0,108.0,0.0,0,Desserts,207.0,3
350.0,165.0,0.0,1,Fries,314.0,4
394.0,159.0,0.0,0,Burgers,382.0,2
269.0,187.0,1.0,0,Fries,471.0,4
307.0,143.0,0.0,1,Desserts,259.0,3
260.0,114.0,0.0,0,Burgers,186.0,2
361.0,126.0,0.0,0,Fries,227.0,4
378.0,158.0,0.0,1,Mcnuggets,390.0,5
398.0,123.0,0.0,0,Desserts,247.0,3
377.0,184.0,0.0,0,Beverages,455.0,0
140.0,159.0,1.0,0,Mcnuggets,348.0,5
241.0,180.0,0.0,1,Mcnuggets,350.0,5
337.0,147.0,0.0,0,Fries,310.0,4
281.0,156.0,0.0,1,Mcnuggets,308.0,5
253.0,130.0,0.0,1,Breakfast,239.0,1
352.0,182.0,1.0,0,Desserts,420.0,3
318.0,171.0,1.0,0,Fries,403.0,4
143.0,162.0,1.0,0,Beverages,290.0,0
327.0,170.0,1.0,1,Desserts,454.0,3
231.0,176.0,1.0,0,Fries,371.0,4
188.0,182.0,0.0,1,Beverages,433.0,0
209.0,114.0,0.0,0,Mcnuggets,222.0,5
206.0,89.0,0.0,0,Fries,152.0,4
352.0,173.0,0.0,1,Burgers,397.0,2
541.0,196.0,0.0,1,Beverages,456.0,0
378.0,162.0,0.0,1,Burgers,394.0,2
453.0,128.0,0.0,0,Fries,219.0,4
411.0,185.0,0.0,1,Fries,391.0,4
284.0,96.0,0.0,0,Desserts,140.0,3
387.0,120.0,0.0,0,Fries,228.0,4
221.0,153.0,0.0,1,Mcnuggets,344.0,5
208.0,188.0,1.0,0,Mcnuggets,436.0,5
325.0,162.0,0.0,1,Breakfast,370.0,1
274.0,184.0,1.0,1,Fries,393.0,4
218.0,162.0,1.0,0,Fries,339.0,4
340.0,213.0,1.0,1,Mcnuggets,466.0,5
362.0,233.0,1.0,0,Burgers,517.0,2
343.0,106.0,0.0,0,Mcnuggets,254.0,5
319.0,141.0,0.0,0,Burgers,231.0,2
210.0,131.0,0.0,0,Desserts,242.0,3
170.0,171.0,1.0,0,Burgers,406.0,2
195.0,153.0,1.0,0,Fries,333.0,4
491.0,131.0,0.0,1,Breakfast,238.0,1
551.0,76.0,0.0,0,Breakfast,161.0,1
287.0,113.0,0.0,0,Breakfast,130.0,1
280.0,83.0,0.0,0,Breakfast,164.0,1
96.0,130.0,0.0,0,Breakfast,214.0,1
379.0,150.0,0.0,1,Beverages,318.0,0
372.0,104.0,0.0,0,Breakfast,244.0,1
366.0,150.0,0.0,0,Beverages,348.0,0
308.0,113.0,0.0,0,Desserts,250.0,3
254.0,99.0,0.0,0,Mcnuggets,173.0,5
388.0,80.0,0.0,0,Breakfast,133.0,1
376.0,179.0,0.0,1,Burgers,339.0,2
455.0,125.0,0.0,0,Fries,215.0,4
331.0,109.0,0.0,0,Breakfast,257.0,1
390.0,194.0,1.0,1,Burgers,493.0,2
282.0,93.0,0.0,0,Breakfast,216.0,1
435.0,160.0,0.0,0,Fries,331.0,4
257.0,170.0,1.0,0,Desserts,382.0,3
304.0,195.0,1.0,0,Beverages,437.0,0
250.0,152.0,1.0,0,Burgers,311.0,2
202.0,113.0,0.0,0,Fries,225.0,4
461.0,155.0,0.0,1,Mcnuggets,364.0,5
335.0,96.0,0.0,0,Breakfast,212.0,1
316.0,97.0,0.0,0,Beverages,249.0,0
260.0,124.0,0.0,1,Breakfast,302.0,1
388.0,141.0,1.0,0,Breakfast,336.0,1
293.0,146.0,0.0,0,Burgers,375.0,2
372.0,100.0,0.0,0,Desserts,285.0,3
264.0,107.0,0.0,0,Fries,172.0,4
391.0,103.0,0.0,0,Beverages,220.0,0
314.0,126.0,0.0,1,Breakfast,322.0,1
334.0,87.0,0.0,0,Breakfast,177.0,1
298.0,93.0,0.0,0,Desserts,152.0,3
256.0,129.0,0.0,0,Mcnuggets,310.0,5
395.0,127.0,0.0,0,Desserts,304.0,3
320.0,102.0,0.0,0,Beverages,157.0,0
269.0,201.0,1.0,1,Fries,443.0,4
483.0,126.0,0.0,0,Burgers,260.0,2
231.0,135.0,1.0,0,Fries,377.0,4
446.0,141.0,1.0,0,Beverages,275.0,0
265.0,162.0,0.0,0,Beverages,378.0,0
184.0,180.0,0.0,1,Beverages,445.0,0
243.0,141.0,0.0,0,Burgers,299.0,2
156.0,121.0,0.0,0,Fries,245.0,4
460.0,141.0,1.0,1,Burgers,425.0,2
291.0,103.0,0.0,0,Burgers,280.0,2
373.0,169.0,1.0,1,Desserts,474.0,3
248.0,102.0,0.0,0,Fries,147.0,4
277.0,95.0,0.0,0,Desserts,171.0,3
263.0,153.0,1.0,0,Desserts,342.0,3
286.0,182.0,1.0,0,Burgers,420.0,2
418.0,104.0,0.0,0,Beverages,211.0,0
187.0,141.0,0.0,0,Burgers,254.0,2
383.0,211.0,1.0,1,Burgers,510.0,2
352.0,120.0,0.0,0,Breakfast,267.0,1
565.0,177.0,0.0,1,Fries,334.0,4
266.0,155.0,0.0,0,Beverages,279.0,0
199.0,110.0,0.0,0,Burgers,254.0,2
254.0,128.0,,0,Fries,265.0,4
194.0,158.0,0.0,1,Beverages,349.0,0
383.0,118.0,0.0,0,Fries,242.0,4
239.0,148.0,0.0,0,Burgers,299.0,2
199.0,65.0,0.0,0,Desserts,125.0,3
266.0,111.0,0.0,0,Fries,254.0,4
319.0,126.0,0.0,0,Beverages,280.0,0
202.0,172.0,1.0,0,Fries,364.0,4
176.0,103.0,0.0,0,Fries,149.0,4
274.0,158.0,0.0,1,Mcnuggets,324.0,5
203.0,114.0,0.0,0,Desserts,190.0,3
139.0,186.0,1.0,0,Burgers,332.0,2
264.0,153.0,0.0,0,Burgers,299.0,2
63.0,116.0,0.0,0,Mcnuggets,231.0,5
159.0,97.0,0.0,0,Fries,214.0,4
319.0,145.0,0.0,0,Mcnuggets,332.0,5
152.0,115.0,0.0,0,Beverages,330.0,0
268.0,181.0,0.0,1,Burgers,408.0,2
237.0,203.0,0.0,1,Burgers,500.0,2
195.0,138.0,0.0,0,Desserts,239.0,3
446.0,162.0,0.0,1,Beverages,363.0,0
418.0,143.0,1.0,0,Breakfast,383.0,1
352.0,169.0,0.0,1,Mcnuggets,281.0,5
292.0,110.0,0.0,0,Beverages,272.0,0
328.0,93.0,0.0,0,Desserts,178.0,3
305.0,142.0,1.0,0,Breakfast,303.0,1
271.0,91.0,0.0,0,Fries,193.0,4
280.0,105.0,0.0,0,Fries,240.0,4
358.0,179.0,0.0,1,Burgers,412.0,2
305.0,122.0,0.0,0,Fries,258.0,4
148.0,110.0,0.0,0,Beverages,218.0,0
295.0,141.0,0.0,1,Desserts,275.0,3
247.0,163.0,1.0,0,Burgers,398.0,2
160.0,208.0,1.0,1,Mcnuggets,489.0,5
310.0,95.0,0.0,1,Breakfast,254.0,1
301.0,127.0,0.0,0,Breakfast,280.0,1
453.0,175.0,1.0,1,Beverages,434.0,0
502.0,168.0,0.0,1,Desserts,373.0,3
307.0,163.0,1.0,0,Mcnuggets,370.0,5
242.0,156.0,0.0,1,Fries,288.0,4
282.0,182.0,1.0,1,Breakfast,451.0,1
257.0,139.0,0.0,0,Fries,216.0,4
319.0,141.0,0.0,0,Burgers,317.0,2
321.0,180.0,0.0,1,Burgers,370.0,2
242.0,101.0,0.0,0,Beverages,219.0,0
204.0,146.0,0.0,1,Burgers,273.0,2
230.0,165.0,0.0,1,Beverages,300.0,0
158.0,175.0,1.0,1,Fries,474.0,4
243.0,107.0,0.0,0,Fries,220.0,4
89.0,144.0,1.0,0,Breakfast,319.0,1
294.0,165.0,1.0,0,Fries,351.0,4
309.0,163.0,0.0,1,Beverages,364.0,0
136.0,148.0,1.0,0,Breakfast,275.0,1
200.0,180.0,1.0,1,Fries,410.0,4
232.0,126.0,0.0,0,Beverages,237.0,0
161.0,141.0,1.0,0,Desserts,435.0,3
244.0,120.0,0.0,0,Fries,260.0,4
292.0,132.0,0.0,0,Beverages,339.0,0
449.0,185.0,1.0,1,Fries,419.0,4
497.0,134.0,0.0,1,Breakfast,290.0,1
353.0,151.0,0.0,1,Mcnuggets,392.0,5
479.0,150.0,0.0,1,Beverages,391.0,0
231.0,129.0,0.0,0,Mcnuggets,290.0,5
215.0,167.0,1.0,1,Breakfast,373.0,1
270.0,149.0,0.0,0,Mcnuggets,245.0,5
301.0,159.0,1.0,0,Desserts,344.0,3
272.0,154.0,0.0,0,Breakfast,361.0,1
209.0,143.0,1.0,0,Burgers,374.0,2
237.0,140.0,1.0,0,Desserts,348.0,3
428.0,151.0,0.0,1,Fries,320.0,4
409.0,187.0,1.0,1,Desserts,397.0,3
320.0,139.0,0.0,0,Beverages,290.0,0
301.0,136.0,1.0,0,Desserts,280.0,3
376.0,114.0,0.0,0,Mcnuggets,168.0,5
440.0,138.0,0.0,1,Desserts,279.0,3
215.0,184.0,0.0,1,Mcnuggets,425.0,5
341.0,143.0,0.0,0,Burgers,269.0,2
312.0,154.0,0.0,1,Beverages,330.0,0
370.0,134.0,0.0,1,Breakfast,294.0,1
280.0,117.0,0.0,0,Burgers,206.0,2
278.0,157.0,1.0,0,Fries,422.0,4
343.0,206.0,1.0,1,Desserts,411.0,3
347.0,108.0,0.0,0,Breakfast,233.0,1
360.0,110.0,0.0,0,Mcnuggets,228.0,5
271.0,113.0,0.0,0,Desserts,244.0,3
315.0,170.0,1.0,1,Mcnuggets,397.0,5
300.0,151.0,0.0,0,Beverages,347.0,0
264.0,131.0,0.0,0,Fries,258.0,4
344.0,138.0,0.0,0,Beverages,236.0,0
245.0,159.0,0.0,0,Mcnuggets,330.0,5
164.0,150.0,0.0,0,Mcnuggets,317.0,5
354.0,163.0,0.0,0,Burgers,315.0,2
390.0,123.0,0.0,0,Fries,180.0,4
645.0,125.0,0.0,0,Breakfast,247.0,1
281.0,149.0,0.0,1,Mcnuggets,305.0,5
334.0,220.0,1.0,1,Fries,460.0,4
275.0,100.0,0.0,0,Breakfast,264.0,1
232.0,104.0,0.0,0,Beverages,245.0,0
360.0,212.0,0.0,1,Mcnuggets,492.0,5
332.0,122.0,0.0,0,Mcnuggets,255.0,5
351.0,119.0,0.0,0,Burgers,276.0,2
343.0,165.0,1.0,0,Burgers,381.0,2
356.0,155.0,0.0,0,Burgers,299.0,2
340.0,153.0,1.0,0,Breakfast,310.0,1
294.0,107.0,0.0,0,Desserts,187.0,3
529.0,146.0,0.0,1,Fries,296.0,4
343.0,138.0,0.0,1,Desserts,333.0,3
387.0,196.0,1.0,1,Breakfast,438.0,1
320.0,138.0,1.0,0,Burgers,294.0,2
404.0,120.0,0.0,0,Burgers,273.0,2
278.0,116.0,0.0,0,Beverages,263.0,0
270.0,149.0,0.0,0,Mcnuggets,256.0,5
366.0,139.0,0.0,0,Beverages,294.0,0
331.0,153.0,0.0,1,Mcnuggets,373.0,5
233.0,162.0,0.0,0,Desserts,357.0,3
384.0,138.0,1.0,0,Mcnuggets,329.0,5
203.0,148.0,0.0,0,Fries,265.0,4
242.0,121.0,1.0,0,Desserts,295.0,3
283.0,113.0,0.0,0,Fries,266.0,4
268.0,120.0,0.0,0,Burgers,237.0,2
271.0,159.0,0.0,0,Burgers,279.0,2
214.0,125.0,0.0,0,Fries,269.0,4
399.0,127.0,0.0,0,Burgers,258.0,2
312.0,93.0,0.0,0,Desserts,205.0,3
342.0,146.0,0.0,1,Fries,279.0,4
545.0,158.0,0.0,1,Desserts,365.0,3
461.0,142.0,1.0,1,Fries,379.0,4
384.0,149.0,0.0,0,Desserts,369.0,3
317.0,135.0,0.0,0,Burgers,249.0,2
579.0,141.0,0.0,1,Beverages,235.0,0
101.0,181.0,1.0,1,Breakfast,415.0,1
292.0,120.0,0.0,0,Mcnuggets,283.0,5
253.0,125.0,0.0,0,Burgers,249.0,2
364.0,126.0,0.0,1,Desserts,238.0,3
389.0,126.0,0.0,0,Mcnuggets,185.0,5
183.0,113.0,0.0,0,Burgers,294.0,2
402.0,80.0,0.0,0,Fries,148.0,4
304.0,191.0,1.0,0,Fries,470.0,4
179.0,155.0,0.0,1,Beverages,350.0,0
419.0,91.0,0.0,0,Mcnuggets,143.0,5
276.0,116.0,0.0,0,Burgers,248.0,2
533.0,126.0,1.0,0,Beverages,276.0,0
274.0,156.0,0.0,0,Beverages,381.0,0
279.0,148.0,1.0,0,Desserts,326.0,3
323.0,134.0,0.0,0,Beverages,271.0,0
222.0,145.0,0.0,0,Burgers,314.0,2
290.0,175.0,1.0,0,Burgers,333.0,2
491.0,109.0,0.0,0,Breakfast,161.0,1
231.0,125.0,0.0,0,Beverages,266.0,0
172.0,87.0,0.0,0,Fries,220.0,4
256.0,131.0,0.0,0,Burgers,202.0,2
325.0,166.0,0.0,1,Mcnuggets,418.0,5
197.0,123.0,0.0,0,Mcnuggets,303.0,5
185.0,89.0,0.0,0,Desserts,166.0,3
402.0,121.0,0.0,0,Beverages,271.0,0
298.0,140.0,0.0,0,Beverages,356.0,0
359.0,146.0,1.0,0,Beverages,404.0,0
369.0,149.0,0.0,0,Mcnuggets,361.0,5
307.0,198.0,1.0,0,Beverages,436.0,0
336.0,125.0,0.0,0,Mcnuggets,236.0,5
147.0,103.0,0.0,0,Breakfast,181.0,1
167.0,193.0,1.0,1,Beverages,509.0,0
301.0,184.0,0.0,1,Burgers,428.0,2
