Date,Day_of_Week,Food_Category,Weather,Is_Holiday,Is_Weekend,Promotion,Average_Price,Previous_Day_Sales,Customers,Sales
2024-09-28,Saturday,Beverages,Hot,0,1,0.0,63.31,346.0,191.0,462.0
2024-04-18,Thursday,McNuggets,Cold,0,0,0.0,148.38,221.0,100.0,208.0
2030-03-12,Tuesday,Beverages,Cloudy,0,0,,97.8,162.0,113.0,272.0
2022-01-01,Saturday,Fries,Rainy,1,1,0.0,105.25,294.0,155.0,348.0
2027-06-19,Saturday,McNuggets,Cold,0,1,0.0,118.76,133.0,168.0,342.0
2027-09-15,Wednesday,Desserts,Sunny,0,0,0.0,93.26,279.0,143.0,269.0
2022-10-26,Wednesday,McNuggets,Cloudy,1,0,1.0,165.47,440.0,187.0,365.0
2029-06-03,Sunday,Breakfast,Sunny,0,1,1.0,129.94,505.0,189.0,403.0
2030-01-14,Monday,Burgers,Hot,0,0,0.0,124.85,308.0,115.0,210.0
2025-10-13,Monday,Fries,Sunny,0,0,0.0,93.94,338.0,,255.0
2023-12-29,Friday,Breakfast,Sunny,0,0,0.0,84.31,292.0,128.0,278.0
2023-06-13,Tuesday,Burgers,Cold,0,0,,189.11,388.0,117.0,265.0
2022-04-13,Wednesday,Fries,Cold,0,0,0.0,72.84,453.0,102.0,199.0
2026-05-11,Monday,Desserts,Sunny,0,0,1.0,93.81,226.0,179.0,397.0
2027-12-18,Saturday,McNuggets,Sunny,0,1,1.0,168.16,334.0,241.0,497.0
2029-07-26,Thursday,Beverages,Sunny,0,0,1.0,58.68,268.0,167.0,437.0
2029-08-17,Friday,Fries,Cold,0,0,0.0,102.89,301.0,96.0,177.0
2022-01-15,Saturday,Burgers,Rainy,1,1,0.0,130.28,222.0,207.0,407.0
2023-03-27,Monday,Breakfast,Cloudy,0,0,1.0,101.4,369.0,125.0,190.0
2023-06-29,Thursday,McNuggets,Hot,0,0,0.0,116.73,349.0,97.0,196.0
2026-12-10,Thursday,Fries,Hot,0,0,0.0,109.25,271.0,-5.0,156.0
2022-12-10,Saturday,Beverages,Sunny,0,1,1.0,86.9,249.0,232.0,554.0
2028-03-12,Sunday,Desserts,Rainy,0,1,1.0,92.86,345.0,186.0,383.0
2027-01-05,Tuesday,Desserts,Hot,0,0,0.0,66.03,164.0,114.0,246.0
2024-03-18,Monday,Desserts,Cloudy,0,0,0.0,93.76,424.0,112.0,240.0
2023-01-04,Wednesday, fries,Sunny,0,0,0.0,173.31,241.0,143.0,319.0
2024-03-20,Wednesday,Burgers,Sunny,0,0,0.0,152.69,296.0,154.0,342.0
2027-02-06,Saturday,Burgers,Sunny,0,1,0.0,118.65,251.0,170.0,381.0
2027-10-19,Tuesday,McNuggets,Cloudy,0,0,0.0,132.3,349.0,114.0,244.0
2022-07-14,Thursday,Fries,Cloudy,0,0,0.0,101.05,320.0,127.0,242.0
2022-07-08,Friday,Beverages,Hot,0,0,0.0,97.47,198.0,104.0,246.0
2026-12-26,Saturday,Burgers,Sunny,1,1,0.0,149.52,359.0,188.0,464.0
2022-02-21,Monday,Breakfast,Cloudy,0,0,1.0,108.3,285.0,127.0,292.0
2023-07-20,Thursday,McNuggets,Rainy,0,0,0.0,117.22,176.0,119.0,283.0
2023-08-18,Friday,Desserts,Cloudy,0,0,1.0,68.4,383.0,163.0,330.0
2022-02-02,Wednesday,Burgers,Hot,0,0,1.0,139.11,267.0,155.0,359.0
2026-03-26,Thursday,Beverages,Hot,0,0,0.0,67.52,231.0,156.0,278.0
2022-09-12,Monday,Burgers,Cloudy,0,0,0.0,171.67,337.0,161.0,380.0
2027-06-09,Wednesday,Burgers,Sunny,0,0,1.0,127.11,294.0,203.0,407.0
2023-06-20,Tuesday,Desserts,Sunny,0,0,0.0,80.86,215.0,86.0,110.0
2025-09-22,Monday,Desserts,,0,0,1.0,111.61,581.0,158.0,391.0
2026-12-15,Tuesday,Burgers,Hot,1,0,0.0,157.67,256.0,158.0,313.0
2024-06-08,Saturday,Fries,Cloudy,0,1,0.0,71.28,281.0,117.0,269.0
2029-05-24,Thursday,Beverages,Sunny,0,0,1.0,52.26,185.0,196.0,390.0
2022-07-16,Saturday,McNuggets,Cold,0,1,0.0,149.1,238.0,159.0,344.0
2028-06-04,Sunday,McNuggets,Sunny,0,1,1.0,165.7,500.0,239.0,518.0
2022-09-14,Wednesday,Desserts,Rainy,0,0,0.0,66.95,226.0,74.0,204.0
2028-05-01,Monday,Beverages,Cold,0,0,0.0,70.57,244.0,119.0,228.0
2026-05-07,Thursday,Beverages,Sunny,0,0,1.0,94.26,310.0,162.0,404.0
2026-04-22,Wednesday,Breakfast,Sunny,0,0,0.0,90.78,212.0,110.0,155.0
2022-10-19,Wednesday,Burgers,Hot,0,0,0.0,153.91,208.0,,388.0
2024-12-04,Wednesday,Fries,Rainy,0,0,0.0,82.7,294.0,96.0,158.0
2026-02-15,Sunday,McNuggets,Hot,0,1,0.0,126.24,523.0,174.0,289.0
2026-07-30,Thursday,Desserts,Hot,0,0,0.0,65.05,398.0,126.0,245.0
2025-07-16,Wednesday,Beverages,Rainy,0,0,0.0,62.41,295.0,143.0,282.0
2027-12-31,Friday,Fries,Cloudy,0,0,1.0,88.42,192.0,187.0,434.0
2029-12-06,Thursday,Beverages,Cold,0,0,0.0,48.69,156.0,108.0,300.0
2028-05-08,Monday,Beverages,Rainy,0,0,0.0,97.09,438.0,126.0,204.0
2024-05-09,Thursday,Burgers,Hot,0,0,0.0,122.4,334.0,131.0,
2026-04-28,Tuesday,McNuggets,Cold,0,0,1.0,100.19,406.0,149.0,271.0
2026-05-26,Tuesday,Burgers,Hot,0,0,0.0,161.9,284.0,130.0,269.0
2027-10-21,Thursday,Desserts,Sunny,0,0,0.0,80.75,220.0,113.0,178.0
2024-02-04,Sunday,Burgers,Cloudy,0,1,1.0,180.77,294.0,226.0,532.0
2027-07-28,Wednesday,McNuggets,Sunny,0,0,1.0,153.9,168.0,130.0,333.0
2025-04-15,Tuesday,Breakfast,Hot,0,0,0.0,106.49,368.0,103.0,194.0
2028-09-09,Saturday,Breakfast,Cold,0,1,0.0,101.07,117.0,126.0,247.0
2026-10-14,Wednesday,Fries,Sunny,0,0,1.0,102.73,265.0,164.0,400.0
2023-05-27,Saturday,Beverages,Sunny,0,1,1.0,74.28,321.0,206.0,454.0
2029-07-23,Monday,Burgers,Hot,0,0,0.0,165.54,383.0,101.0,117.0
2024-07-01,Monday,McNuggets,Sunny,0,0,0.0,97.76,411.0,114.0,246.0
2023-02-19,Sunday,McNuggets,Hot,0,1,0.0,127.42,365.0,174.0,368.0
2023-04-25,Tuesday,Beverages,Cloudy,0,0,0.0,50.83,269.0,113.0,270.0
2026-01-05,Monday,Burgers,Cloudy,0,0,0.0,139.51,330.0,124.0,237.0
2022-05-30,Monday,Fries,Cloudy,0,0,1.0,84.93,309.0,183.0,392.0
2024-10-22,Tuesday,Beverages,Hot,0,0,0.0,53.37,143.0,156.0,306.0
2027-09-21,Tuesday,Fries,Sunny,0,0,1.0,90.57,100.0,185.0,486.0
2024-08-02,Friday,Burgers,Sunny,0,0,0.0,133.15,311.0,130.0,226.0
2026-10-05,Monday,Fries,Cloudy,0,0,0.0,67.36,329.0,115.0,225.0
2023-03-07,Tuesday,Burgers,Rainy,0,0,1.0,175.83,255.0,138.0,325.0
2022-02-15,Tuesday,McNuggets,Rainy,0,0,1.0,92.4,523.0,166.0,360.0
2027-11-30,Tuesday,Breakfast,Sunny,0,0,1.0,117.05,363.0,197.0,414.0
2029-03-11,Sunday,Burgers,Cloudy,0,1,0.0,170.84,422.0,198.0,420.0
2025-05-29,Thursday,Breakfast,Cloudy,0,0,0.0,88.67,152.0,128.0,155.0
2024-04-19,Friday,McNuggets,Rainy,0,0,1.0,154.88,214.0,128.0,390.0
2027-02-18,Thursday,Breakfast,Sunny,0,0,0.0,133.72,376.0,110.0,170.0
2023-03-20,Monday,Fries,Cold,0,0,0.0,75.89,476.0,96.0,261.0
2023-03-10,Friday,Burgers,Cloudy,0,0,0.0,133.25,320.0,113.0,184.0
2026-02-19,Thursday,Breakfast,Sunny,0,0,1.0,78.51,201.0,137.0,254.0
2029-08-19,Sunday,Burgers,Hot,0,1,1.0,156.31,280.0,210.0,545.0
2025-05-01,Thursday,Burgers,Sunny,0,0,0.0,159.8,239.0,139.0,302.0
2022-11-28,Monday,Breakfast,Hot,0,0,1.0,123.6,316.0,158.0,350.0
2026-04-13,Monday,Fries,Sunny,0,0,1.0,67.71,246.0,166.0,371.0
2022-07-31,Sunday,McNuggets,Rainy,0,1,0.0,165.36,361.0,150.0,242.0
2025-03-05,Wednesday,Burgers,Rainy,0,0,0.0,176.71,178.0,138.0,233.0
2029-03-30,Friday,Fries,Sunny,0,0,0.0,60.51,249.0,112.0,236.0
2026-01-31,Saturday,Fries,Rainy,0,1,0.0,55.5,272.0,132.0,214.0
2025-11-11,Tuesday,Burgers,Sunny,0,0,0.0,173.5,221.0,138.0,240.0
2024-03-21,Thursday,Desserts,Rainy,0,0,1.0,57.92,333.0,151.0,352.0
2027-12-13,Monday,Burgers,Sunny,0,0,0.0,185.49,433.0,177.0,315.0
2029-01-06,Saturday,Burgers,Sunny,0,1,0.0,179.58,452.0,173.0,327.0
2023-02-13,Monday,Desserts,Sunny,0,0,0.0,63.92,445.0,129.0,289.0
2023-11-02,Thursday,Burgers,Sunny,0,0,0.0,146.43,186.0,151.0,294.0
2027-02-21,Sunday,Beverages,CLOUDY,0,1,0.0,74.91,264.0,140.0,263.0
2022-10-27,Thursday,Burgers,Hot,0,0,0.0,117.88,365.0,143.0,312.0
2026-11-29,Sunday,McNuggets,Sunny,0,1,0.0,100.46,466.0,165.0,309.0
2022-07-12,Tuesday,Desserts,Cold,0,0,1.0,115.37,245.0,143.0,323.0
2025-06-18,Wednesday,BURGERS,Rainy,0,0,1.0,175.85,248.0,161.0,344.0
2023-04-03,Monday,Beverages,Rainy,0,0,0.0,92.92,320.0,138.0,290.0
2027-12-16,Thursday,Breakfast,Hot,0,0,0.0,108.82,353.0,99.0,183.0
2022-06-25,Saturday,Burgers,Sunny,0,1,0.0,125.99,,216.0,449.0
2028-07-11,Tuesday,Beverages,Sunny,0,0,1.0,82.87,142.0,,444.0
2026-07-31,Friday,Desserts,Rainy,0,0,1.0,64.32,253.0,159.0,346.0
2025-06-30,Monday,Fries,Cloudy,0,0,0.0,89.31,442.0,77.0,200.0
2024-02-07,Wednesday,Desserts,Cloudy,0,0,0.0,103.26,304.0,122.0,244.0
2026-03-14,Saturday,Fries,Cloudy,0,1,0.0,57.98,349.0,157.0,355.0
2029-11-17,Saturday,Burgers,Rainy,0,1,0.0,144.13,229.0,152.0,425.0
2024-08-07,Wednesday,McNuggets,Sunny,0,0,0.0,125.21,289.0,130.0,310.0
2026-12-28,Monday,McNuggets,Cloudy,0,0,0.0,166.37,438.0,139.0,288.0
2025-02-09,Sunday,Burgers,Sunny,0,1,1.0,111.16,275.0,221.0,527.0
2027-10-18,Monday,Beverages,Cloudy,0,0,1.0,96.05,345.0,180.0,359.0
2027-09-03,Friday,Beverages,Hot,0,0,0.0,95.14,122.0,119.0,210.0
2023-04-17,Monday,Desserts,Hot,0,0,1.0,98.29,311.0,181.0,336.0
2025-08-10,Sunday,Breakfast,Sunny,0,1,0.0,,368.0,179.0,389.0
2028-12-29,Friday,Burgers,Hot,0,0,0.0,158.55,212.0,151.0,288.0
2028-12-04,Monday,Desserts,Sunny,0,0,0.0,98.3,308.0,113.0,261.0
2022-06-20,Monday,McNuggets,Rainy,0,0,0.0,111.67,390.0,114.0,266.0
2026-06-15,Monday,Burgers,Cloudy,0,0,1.0,177.05,267.0,154.0,419.0
2029-09-14,Friday,Burgers,Sunny,0,0,0.0,122.93,365.0,141.0,335.0
2022-03-30,Wednesday,Desserts,Rainy,0,0,1.0,65.81,199.0,146.0,294.0
2028-06-18,Sunday,Burgers,Rainy,0,1,1.0,171.53,358.0,190.0,394.0
2029-02-27,Tuesday,Fries,Cloudy,0,0,0.0,56.38,90.0,124.0,283.0
2022-09-09,Friday,Fries,Sunny,0,0,0.0,89.84,263.0,123.0,309.0
2029-08-08,Wednesday,Burgers,Rainy,0,0,1.0,120.19,372.0,177.0,392.0
2028-06-29,Thursday,Breakfast,Cloudy,0,0,0.0,86.93,371.0,125.0,294.0
2026-05-29,Friday,Beverages,Cloudy,0,0,0.0,-20.0,171.0,117.0,234.0
2027-04-14,Wednesday,Burgers,Cold,0,0,0.0,,373.0,125.0,189.0
2030-02-12,Tuesday,Breakfast,Cloudy,0,0,0.0,108.37,190.0,93.0,158.0
2025-11-07,Friday,Breakfast,Cold,0,0,0.0,88.85,235.0,113.0,189.0
2022-06-02,Thursday,Burgers,Rainy,0,0,0.0,120.78,168.0,133.0,303.0
2022-09-15,Thursday,McNuggets,Sunny,0,0,0.0,103.52,193.0,112.0,195.0
2026-01-14,Wednesday,Fries,Rainy,0,0,0.0,94.27,210.0,89.0,137.0
2022-12-30,Friday,Beverages,Sunny,0,0,0.0,55.67,262.0,137.0,297.0
2029-11-05,Monday,McNuggets,Cloudy,0,0,0.0,100.42,421.0,134.0,311.0
2024-08-03,Saturday,Burgers,Sunny,0,1,1.0,130.28,213.0,242.0,516.0
2025-10-27,Monday,Breakfast,Hot,0,0,0.0,122.19,483.0,133.0,282.0
2022-09-04,Sunday,Beverages,Cloudy,0,1,0.0,71.91,304.0,185.0,379.0
2023-12-20,Wednesday,Burgers,Cloudy,0,0,0.0,123.58,164.0,165.0,367.0
2023-11-17,Friday,Beverages,Rainy,0,0,0.0,69.78,86.0,80.0,192.0
2029-11-09,Friday,Fries,Rainy,0,0,0.0,89.63,300.0,118.0,225.0
2029-02-04,Sunday,Breakfast,Cloudy,0,1,0.0,132.98,410.0,153.0,300.0
2023-02-28,Tuesday,Beverages,Sunny,0,0,0.0,,309.0,133.0,336.0
2024-04-25,Thursday,Beverages,Rainy,0,0,0.0,67.37,362.0,141.0,244.0
2023-10-13,Friday,Burgers,Hot,0,0,0.0,132.99,277.0,102.0,160.0
2022-11-18,Friday,McNuggets,Sunny,0,0,0.0,160.77,242.0,127.0,257.0
2024-01-15,Monday,Fries,Sunny,1,0,0.0,69.6,530.0,156.0,317.0
2029-05-16,Wednesday,Burgers,Rainy,0,0,0.0,171.77,335.0,112.0,261.0
2027-02-12,Friday,Burgers,Rainy,0,0,0.0,152.01,263.0,125.0,266.0
2029-01-10,Wednesday,Fries,Rainy,0,0,1.0,55.22,238.0,156.0,266.0
2026-11-01,Sunday,Fries,Cold,0,1,0.0,89.69,367.0,143.0,234.0
2022-03-09,Wednesday,Breakfast,Cold,0,0,0.0,105.35,219.0,88.0,95.0
2024-10-31,Thursday,Burgers,Sunny,0,0,0.0,162.74,234.0,134.0,260.0
2025-10-31,Friday,McNuggets,Sunny,0,0,0.0,129.34,219.0,143.0,212.0
2023-03-09,Thursday,McNuggets,Hot,0,0,1.0,146.09,208.0,185.0,321.0
2025-04-05,Saturday,Burgers,Hot,0,1,0.0,160.43,254.0,194.0,436.0
2022-05-15,Sunday,Desserts,Sunny,0,1,0.0,104.36,331.0,160.0,267.0
2027-06-03,Thursday,Breakfast,Sunny,0,0,1.0,109.85,300.0,156.0,342.0
2024-10-07,Monday,Fries,Sunny,0,0,0.0,103.73,302.0,111.0,206.0
2027-07-24,Saturday,Burgers,Cloudy,0,1,0.0,131.83,428.0,161.0,288.0
2023-11-23,Thursday,Beverages,Cloudy,0,0,0.0,69.13,308.0,113.0,303.0
2023-06-18,Sunday,Beverages,Sunny,0,1,0.0,91.46,467.0,161.0,371.0
2025-07-26,Saturday,Burgers,Hot,0,1,0.0,120.24,149.0,165.0,453.0
2026-01-01,Thursday,McNuggets,Cloudy,1,0,0.0,132.02,172.0,164.0,344.0
2027-08-16,Monday,Desserts,Sunny,0,0,0.0,106.16,747.0,120.0,262.0
2028-12-23,Saturday,Beverages,Sunny,0,1,0.0,75.15,271.0,189.0,431.0
2026-06-09,Tuesday,Beverages,Hot,0,0,1.0,64.67,165.0,157.0,313.0
2026-11-15,Sunday,Breakfast,Sunny,0,1,0.0,84.17,573.0,132.0,293.0
2024-02-25,Sunday,Desserts,Sunny,0,1,1.0,103.79,487.0,192.0,488.0
2029-10-16,Tuesday,Fries,Sunny,0,0,1.0,58.47,290.0,154.0,323.0
2030-03-01,Friday,Fries,Sunny,0,0,0.0,55.21,363.0,129.0,289.0
2029-10-23,Tuesday,Burgers,Hot,0,0,0.0,180.46,169.0,125.0,240.0
2027-03-18,Thursday,Breakfast,Sunny,0,0,0.0,125.29,294.0,121.0,237.0
2022-05-05,Thursday,Fries,Hot,0,0,1.0,76.61,433.0,138.0,315.0
2022-06-28,Tuesday,Desserts,Hot,0,0,0.0,89.42,302.0,156.0,379.0
2026-05-02,Saturday,McNuggets,Hot,0,1,0.0,127.78,325.0,152.0,296.0
2026-04-09,Thursday,Desserts,Cold,0,0,1.0,117.99,226.0,145.0,396.0
2028-11-06,Monday,Breakfast,Sunny,0,0,0.0,131.91,256.0,54.0,82.0
2027-05-08,Saturday,Breakfast,Rainy,0,1,0.0,75.66,207.0,133.0,228.0
2027-07-13,Tuesday,McNuggets,Hot,0,0,1.0,166.24,299.0,173.0,318.0
2024-03-23,Saturday,Burgers,Sunny,0,1,0.0,130.15,191.0,187.0,326.0
2026-12-04,Friday,Burgers,Sunny,0,0,0.0,171.09,275.0,161.0,312.0
2024-10-24,Thursday,Breakfast,Sunny,0,0,1.0,132.5,247.0,157.0,374.0
2029-03-18,Sunday,Burgers,Sunny,0,1,0.0,180.77,262.0,201.0,405.0
2025-01-22,Wednesday,Desserts,Cloudy,0,0,0.0,92.88,329.0,142.0,263.0
2022-09-24,Saturday,McNuggets,Cloudy,0,1,1.0,113.72,180.0,214.0,550.0
2022-12-21,Wednesday,Burgers,Sunny,0,0,1.0,116.26,194.0,,501.0
2026-11-05,Thursday,Fries,Cloudy,0,0,1.0,87.85,174.0,155.0,366.0
2026-11-15,Sunday,Breakfast,Sunny,0,1,0.0,84.17,573.0,132.0,293.0
2027-07-07,Wednesday,Burgers,Rainy,0,0,0.0,130.29,362.0,115.0,257.0
2026-08-09,Sunday,Desserts,Sunny,0,1,0.0,116.8,471.0,174.0,298.0
2030-01-10,Thursday,beverages,Cloudy,0,0,0.0,135.25,207.0,120.0,290.0
2024-08-23,Friday,Fries,Hot,0,0,0.0,86.1,316.0,129.0,284.0
2025-03-25,Tuesday,Beverages,Cloudy,0,0,0.0,85.02,255.0,130.0,280.0
2027-06-17,Thursday,Burgers,Rainy,0,0,0.0,148.42,230.0,129.0,226.0
2027-10-12,Tuesday,Burgers,Cold,0,0,0.0,161.33,345.0,104.0,267.0
2026-07-01,Wednesday,Beverages,Hot,0,0,0.0,71.14,120.0,124.0,
2022-03-22,Tuesday,Desserts,Hot,0,0,0.0,73.66,278.0,93.0,191.0
2027-02-17,Wednesday,Breakfast,Sunny,0,0,1.0,89.66,449.0,166.0,348.0
2028-08-02,Wednesday,McNuggets,Cold,0,0,0.0,137.22,309.0,137.0,328.0
2023-08-23,Wednesday,Burgers,Rainy,0,0,0.0,141.88,381.0,129.0,268.0
2025-12-06,Saturday,Burgers,Sunny,0,1,1.0,139.06,308.0,200.0,544.0
2030-01-03,Thursday,Fries,Sunny,0,0,0.0,71.28,374.0,126.0,208.0
2028-09-13,Wednesday,Burgers,Rainy,0,0,1.0,143.17,226.0,179.0,440.0
2023-09-05,Tuesday,McNuggets,Cloudy,0,0,0.0,162.27,471.0,101.0,220.0
2026-07-16,Thursday,Fries,Cloudy,0,0,0.0,84.64,354.0,94.0,219.0
2025-11-24,Monday,Burgers,Rainy,0,0,0.0,136.19,395.0,83.0,212.0
2023-07-09,Sunday,Desserts,Sunny,0,1,1.0,95.17,317.0,213.0,433.0
2025-06-25,Wednesday,Desserts,Cold,0,0,1.0,80.26,296.0,148.0,353.0
2025-03-03,Monday,Desserts,Hot,0,0,0.0,66.23,388.0,108.0,207.0
2022-05-22,Sunday,Fries,Cold,0,1,0.0,65.91,350.0,165.0,314.0
2026-12-01,Tuesday,Burgers,Cloudy,1,0,0.0,137.27,394.0,159.0,382.0
2028-12-25,Monday,Fries,Sunny,1,0,1.0,64.92,269.0,187.0,471.0
2025-02-23,Sunday,Desserts,Hot,0,1,0.0,77.4,307.0,143.0,259.0
2024-03-05,Tuesday,Burgers,Sunny,0,0,0.0,151.12,260.0,114.0,186.0
2024-01-17,Wednesday,Fries,Rainy,0,0,0.0,98.59,361.0,126.0,227.0
2027-04-18,Sunday,McNuggets,Cloudy,0,1,0.0,152.01,378.0,158.0,390.0
2027-10-26,Tuesday,Desserts,Cold,1,0,0.0,51.27,398.0,123.0,247.0
2027-08-26,Thursday,Beverages,Cloudy,1,0,0.0,,377.0,184.0,455.0
2025-03-28,Friday,McNuggets,Rainy,0,0,1.0,121.03,140.0,159.0,348.0
2027-02-13,Saturday,McNuggets,Hot,0,1,0.0,119.49,241.0,180.0,350.0
2022-06-27,Monday,Fries,Cold,0,0,0.0,98.89,337.0,147.0,310.0
2024-03-09,Saturday,McNuggets,Sunny,0,1,0.0,123.18,281.0,156.0,308.0
